Scenario,S1_RXBytes_Start,S1_RXBytes_End,S2_RXBytes_Start,S2_RXBytes_End,Spine1_Final_Mbps,Spine2_Final_Mbps
Mốc 1 (Single Flow),406038549030,429147082872,216013235274,216013241998,46217.07,0.01
Mốc 2 (Multi Flow),439305743140,474362703264,222119507556,241650663080,70113.92,39062.31
