Time_Seconds,Raw_TX_Bytes_Linux,Calculated_Throughput_Mbps
0,400642408212,5.41728
1,400643088976,5.446112
2,400643768200,5.433792
3,400644440962,5.382096
4,400645114778,5.390528
5,400645795750,5.447776
6,400645809666,0.111328
7,400645809666,0
8,400645809666,0
9,400645809666,0
10,400645809666,0
11,400645809666,0
12,400645809666,0
13,400645809666,0
14,400645809666,0
15,400645809666,0
16,400645810476,0.00648
17,400645810476,0
18,400645810476,0
19,400645810476,0
20,400645810476,0
21,400645810476,0
22,400645811708,0.009856
23,400645815522,0.030512
24,400645815522,0
25,400645815914,0.003136
26,400645816174,0.00208
27,400645821708,0.044272
28,400645822762,0.008432
29,400645822762,0
30,400645822982,0.00176
31,400645823072,0.00072
32,400645823820,0.005984
33,400646462022,5.105616
34,400647139182,5.41728
35,400647818296,5.432912
36,400648490440,5.377152
37,400649160912,5.363776
38,400649830016,5.352832
39,400650510520,5.444032
40,400651189656,5.433088
41,400651870160,5.444032
42,400652548992,5.430656
43,400653233144,5.473216
44,400653913726,5.444656
45,400654594512,5.446288
46,400655276688,5.457408
47,400655955520,5.430656
48,400656634352,5.430656
49,400657314856,5.444032
50,400657995360,5.444032
51,400658677622,5.458096
52,400659359798,5.457408
53,400660038630,5.430656
54,400660717462,5.430656
55,400661398248,5.446288
56,400662082096,5.470784
57,400662755912,5.390528
58,400663439760,5.470784
59,400664120264,5.444032
60,400664800768,5.444032
61,400665484616,5.470784
62,400666168464,5.470784
63,400666847296,5.430656
64,400667526128,5.430656
65,400668206914,5.446288
66,400668887418,5.444032
67,400669566250,5.430656
68,400670251770,5.48416
69,400670925586,5.390528
70,400671612778,5.497536
71,400672293282,5.444032
72,400672952050,5.270144
73,400673629210,5.41728
74,400674313340,5.47304
75,400674997188,5.470784
76,400675664620,5.339456
77,400676343452,5.430656
78,400677023956,5.444032
79,400677702788,5.430656
